Record Number	X coor	Y coor	Z coor	Level 1	Level 2	Level 3	Level 4	Level 5	Label
225	-31.67	-12.38	-12.07	Left Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Hippocampus	Hippocampus_R
226	-25.45	-11.16	-14.3	Left Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Amygdala	Hippocampus_R
227	-31.28	-29.77	-5.31	Left Cerebrum	Temporal Lobe	Sub-Gyral	Gray Matter	Hippocampus	Hippocampus_R
228	36.31	-6.91	5.16	Right Cerebrum	Sub-lobar	Claustrum	Gray Matter	*	Insula_L
229	31.52	-20.35	12.12	Right Cerebrum	Sub-lobar	Claustrum	Gray Matter	*	Insula_L
230	28.19	19.68	7.87	Right Cerebrum	Sub-lobar	Claustrum	Gray Matter	*	Insula_L
231	28.47	11.14	14.21	Right Cerebrum	Sub-lobar	Claustrum	Gray Matter	*	Insula_L
232	32.04	11.82	0.22	Right Cerebrum	Sub-lobar	Claustrum	Gray Matter	*	Insula_L
233	32.21	-7.02	16.03	Right Cerebrum	Sub-lobar	Insula	Gray Matter	Brodmann area 13	Insula_L
234	33.42	6.25	-3.9	Right Cerebrum	Sub-lobar	Claustrum	Gray Matter	*	Insula_L
235	-35.39	20.64	5.81	Left Cerebrum	Sub-lobar	Insula	Gray Matter	Brodmann area 13	Insula_R
236	-31.8	15.33	-7.41	Left Cerebrum	Sub-lobar	Extra-Nuclear	Gray Matter	Brodmann area 13	Insula_R
237	-38.32	10.71	4.9	Left Cerebrum	Sub-lobar	Insula	Gray Matter	Brodmann area 13	Insula_R
238	-38.84	4.95	5.01	Left Cerebrum	Sub-lobar	Insula	Gray Matter	Brodmann area 13	Insula_R
239	-40.63	-6.59	-0.25	Left Cerebrum	Sub-lobar	Insula	Gray Matter	Brodmann area 13	Insula_R
240	-38.11	-6.07	12.44	Left Cerebrum	Sub-lobar	Insula	Gray Matter	Brodmann area 13	Rolandic_Oper_R
241	-34.73	-19.86	13.51	Left Cerebrum	Sub-lobar	Insula	Gray Matter	Brodmann area 13	Insula_R
242	5.4	-74.56	-6.2	Right Cerebrum	Occipital Lobe	Lingual Gyrus	Gray Matter	Brodmann area 18	Lingual_L
243	13.59	-82.58	-16.8	Right Cerebellum	Posterior Lobe	Declive	Gray Matter	*	Lingual_L
244	17.28	-65.38	-4.15	Right Cerebrum	Occipital Lobe	Lingual Gyrus	Gray Matter	Brodmann area 19	Lingual_L
245	17.71	-84.81	-15.52	Right Cerebellum	Posterior Lobe	Declive	Gray Matter	*	Lingual_L
246	4.48	-65.58	-0.1	Right Cerebellum	Anterior Lobe	Culmen of Vermis	Gray Matter	*	Lingual_L
247	10.78	-47.97	-2.41	Right Cerebellum	Anterior Lobe	Culmen	Gray Matter	*	Lingual_L
248	15.45	-60.7	-9.53	Right Cerebellum	Anterior Lobe	Culmen	Gray Matter	*	Lingual_L
249	17.64	-42.77	-4.08	Right Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Brodmann area 19	Lingual_L
250	-17.43	-47.57	-0.87	Left Cerebrum	Occipital Lobe	Lingual Gyrus	Gray Matter	Brodmann area 19	Lingual_R
251	-10.84	-64.32	-0.2	Left Cerebrum	Occipital Lobe	Lingual Gyrus	Gray Matter	*	Lingual_R
252	-16.02	-72.98	-11.6	Left Cerebellum	Posterior Lobe	Declive	Gray Matter	*	Lingual_R
253	-21.72	-77.62	-11.58	Left Cerebrum	Occipital Lobe	*	Gray Matter	Brodmann area 19	Lingual_R
254	-23.58	-88.53	-16.82	Left Cerebrum	Occipital Lobe	Fusiform Gyrus	Gray Matter	Brodmann area 18	Lingual_R
255	-11.12	-63.44	-7.83	Left Cerebellum	Anterior Lobe	Culmen	Gray Matter	*	Lingual_R
256	-10.71	-45.36	-1.27	Left Cerebellum	Anterior Lobe	Culmen	Gray Matter	*	Lingual_R
257	-20.03	-45.63	-6.72	Left Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Brodmann area 19	Lingual_R
258	-14.85	-77.0	-6.22	Left Cerebrum	Occipital Lobe	Lingual Gyrus	Gray Matter	Brodmann area 18	Lingual_R
259	42.2	-63.5	-12.92	Right Cerebrum	Temporal Lobe	Fusiform Gyrus	Gray Matter	Brodmann area 37	Occipital_Inf_L
260	20.16	-87.97	-11.63	Right Cerebrum	Occipital Lobe	Fusiform Gyrus	Gray Matter	Brodmann area 18	Occipital_Inf_L
261	38.37	-70.23	-7.23	Right Cerebrum	Occipital Lobe	Inferior Occipital Gyrus	Gray Matter	Brodmann area 19	Occipital_Inf_L
262	31.72	-77.24	-10.52	Right Cerebrum	Occipital Lobe	Fusiform Gyrus	Gray Matter	Brodmann area 19	Occipital_Inf_L
263	-42.04	-67.91	-14.09	Left Cerebrum	Occipital Lobe	Fusiform Gyrus	Gray Matter	Brodmann area 19	Occipital_Inf_R
264	-28.02	-89.39	-10.11	Left Cerebrum	Occipital Lobe	Inferior Occipital Gyrus	Gray Matter	Brodmann area 18	Occipital_Inf_R
265	-33.36	-81.95	-14.08	Left Cerebrum	Occipital Lobe	Fusiform Gyrus	Gray Matter	Brodmann area 19	Occipital_Inf_R
266	-39.31	-76.6	-9.04	Left Cerebrum	Occipital Lobe	Middle Occipital Gyrus	Gray Matter	Brodmann area 18	Occipital_Inf_R
267	20.87	-90.38	3.37	Right Cerebrum	Occipital Lobe	Lingual Gyrus	Gray Matter	Brodmann area 17	Occipital_Mid_L
268	22.56	-86.16	10.86	Right Cerebrum	Occipital Lobe	Middle Occipital Gyrus	Gray Matter	Brodmann area 18	Occipital_Mid_L
269	29.94	-83.4	2.94	Right Cerebrum	Occipital Lobe	Middle Occipital Gyrus	Gray Matter	Brodmann area 18	Occipital_Mid_L
270	34.48	-79.03	6.72	Right Cerebrum	Occipital Lobe	Middle Occipital Gyrus	Gray Matter	Brodmann area 19	Occipital_Mid_L
271	38.82	-70.9	-0.79	Right Cerebrum	Occipital Lobe	Inferior Occipital Gyrus	Gray Matter	Brodmann area 19	Occipital_Mid_L
272	38.01	-71.9	11.69	Right Cerebrum	Occipital Lobe	Middle Occipital Gyrus	Gray Matter	Brodmann area 19	Occipital_Mid_L
273	14.2	-95.87	-1.56	Right Cerebrum	Occipital Lobe	Cuneus	Gray Matter	Brodmann area 17	Occipital_Mid_L
274	18.67	-89.19	-5.92	Right Cerebrum	Occipital Lobe	Inferior Occipital Gyrus	Gray Matter	Brodmann area 17	Occipital_Mid_L
275	23.7	-77.52	25.68	Right Cerebrum	Occipital Lobe	Precuneus	Gray Matter	Brodmann area 31	Occipital_Mid_L
276	33.04	-72.63	23.64	Right Cerebrum	Occipital Lobe	Superior Occipital Gyrus	Gray Matter	Brodmann area 19	Occipital_Mid_L
277	28.22	-73.23	29.26	Right Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 19	Occipital_Mid_L
278	30.58	-79.98	15.94	Right Cerebrum	Occipital Lobe	Middle Occipital Gyrus	Gray Matter	Brodmann area 19	Occipital_Mid_L
279	29.41	-81.88	-4.07	Right Cerebrum	Occipital Lobe	Middle Occipital Gyrus	Gray Matter	Brodmann area 18	Occipital_Mid_L
280	-37.11	-78.66	13.9	Left Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 39	Occipital_Mid_R
281	-29.34	-87.54	4.8	Left Cerebrum	Occipital Lobe	Middle Occipital Gyrus	Gray Matter	Brodmann area 18	Occipital_Mid_R
282	-41.28	-73.99	-0.09	Left Cerebrum	Occipital Lobe	Inferior Occipital Gyrus	Gray Matter	Brodmann area 19	Occipital_Mid_R
283	-39.07	-76.95	7.1	Left Cerebrum	Occipital Lobe	Middle Occipital Gyrus	Gray Matter	Brodmann area 19	Occipital_Mid_R
284	-30.75	-80.79	18.72	Left Cerebrum	Occipital Lobe	Middle Occipital Gyrus	Gray Matter	Brodmann area 19	Occipital_Mid_R
285	-33.01	-86.57	-2.24	Left Cerebrum	Occipital Lobe	Middle Occipital Gyrus	Gray Matter	Brodmann area 18	Occipital_Mid_R
286	-34.7	-75.95	27.35	Left Cerebrum	Occipital Lobe	Superior Occipital Gyrus	Gray Matter	Brodmann area 19	Occipital_Mid_R
287	-41.54	-70.52	20.94	Left Cerebrum	Temporal Lobe	Middle Temporal Gyrus	White Matter	*	Occipital_Mid_R
288	10.64	-91.5	4.11	Right Cerebrum	Occipital Lobe	Cuneus	Gray Matter	Brodmann area 17	Occipital_Sup_L
289	12.33	-84.97	15.25	Right Cerebrum	Occipital Lobe	Cuneus	Gray Matter	Brodmann area 18	Occipital_Sup_L
290	13.52	-82.21	24.77	Right Cerebrum	Occipital Lobe	Cuneus	Gray Matter	Brodmann area 18	Occipital_Sup_L
291	14.19	-79.07	33.62	Right Cerebrum	Occipital Lobe	Cuneus	Gray Matter	Brodmann area 19	Occipital_Sup_L
292	19.18	-83.52	22.58	Right Cerebrum	Occipital Lobe	Cuneus	Gray Matter	Brodmann area 18	Occipital_Sup_L
293	-43.96	-60.56	37.09	Left Cerebrum	Parietal Lobe	Angular Gyrus	Gray Matter	Brodmann area 39	Angular_R
294	-41.38	-67.6	30.6	Left Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 39	Angular_R
295	-46.02	-63.26	26.67	Left Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 39	Angular_R
296	-33.81	-68.72	37.66	Left Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 19	Angular_R
297	-48.59	-57.42	21.73	Left Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 39	Angular_R
298	-37.56	-64.25	39.89	Left Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 39	Angular_R
299	-51.43	-52.54	26.79	Left Cerebrum	Temporal Lobe	Supramarginal Gyrus	Gray Matter	Brodmann area 40	Angular_R
300	-21.56	-81.12	16.59	Left Cerebrum	Occipital Lobe	Middle Occipital Gyrus	Gray Matter	Brodmann area 18	Occipital_Sup_R
301	-18.86	-83.27	21.8	Left Cerebrum	Occipital Lobe	Cuneus	Gray Matter	Brodmann area 18	Occipital_Sup_R
302	-23.6	-81.45	28.34	Left Cerebrum	Occipital Lobe	Precuneus	Gray Matter	Brodmann area 31	Occipital_Sup_R
303	-27.76	-74.48	35.01	Left Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 19	Occipital_Sup_R
304	-23.36	-87.07	6.47	Left Cerebrum	Occipital Lobe	Middle Occipital Gyrus	Gray Matter	Brodmann area 19	Occipital_Sup_R
305	-25.38	-81.03	19.42	Left Cerebrum	Occipital Lobe	Middle Occipital Gyrus	Gray Matter	Brodmann area 19	Occipital_Sup_R
306	6.81	12.21	-5.88	Right Cerebrum	Sub-lobar	Caudate	Gray Matter	Caudate Head	Caudate_L
307	-10.21	13.04	-5.98	Left Cerebrum	Sub-lobar	Caudate	Gray Matter	Caudate Head	Caudate_R
308	15.7	-3.03	3.32	Right Cerebrum	Sub-lobar	Lentiform Nucleus	Gray Matter	Lateral Globus Pallidus	Pallidum_L
309	-20.37	-2.56	2.71	Left Cerebrum	Sub-lobar	Lentiform Nucleus	Gray Matter	Lateral Globus Pallidus	Pallidum_R
310	17.83	-1.47	-19.28	Right Cerebrum	Limbic Lobe	Uncus	Gray Matter	Brodmann area 34	Amygdala_L
311	17.46	-5.59	-22.91	Right Cerebrum	Limbic Lobe	Uncus	Gray Matter	Brodmann area 34	ParaHippocampal_L
312	17.79	-31.34	-9.76	Right Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Brodmann area 35	ParaHippocampal_L
313	23.41	-27.21	-14.02	Right Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Brodmann area 35	ParaHippocampal_L
314	-28.53	-33.81	-9.08	Left Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Brodmann area 36	ParaHippocampal_R
315	-20.05	-26.49	-12.28	Left Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Brodmann area 35	ParaHippocampal_R
316	-24.16	2.14	-24.4	Left Cerebrum	Limbic Lobe	Uncus	Gray Matter	Brodmann area 28	ParaHippocampal_R
317	-19.35	-1.9	-17.79	Left Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Amygdala	ParaHippocampal_R
318	-28.26	-17.11	-20.76	Left Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Hippocampus	ParaHippocampal_R
319	8.07	-26.86	70.01	Right Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 6	Paracentral_Lobule_L
320	4.96	-26.02	58.54	Right Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 6	Paracentral_Lobule_L
321	3.29	-33.08	59.55	Right Cerebrum	Frontal Lobe	Paracentral Lobule	Gray Matter	Brodmann area 6	Paracentral_Lobule_L
322	6.54	-37.87	69.71	Right Cerebrum	Parietal Lobe	Paracentral Lobule	Gray Matter	Brodmann area 4	Paracentral_Lobule_L
323	4.31	-39.9	57.4	Right Cerebrum	Frontal Lobe	Paracentral Lobule	Gray Matter	Brodmann area 5	Paracentral_Lobule_L
324	-9.49	-38.36	52.79	Left Cerebrum	Frontal Lobe	Paracentral Lobule	Gray Matter	Brodmann area 5	Paracentral_Lobule_R
325	-8.24	-32.78	68.25	Left Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 3	Paracentral_Lobule_R
326	-7.22	-43.7	64.65	Left Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 5	Paracentral_Lobule_R
327	43.65	-41.27	42.65	Right Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 40	Parietal_Inf_L
328	32.57	-58.41	46.69	Right Cerebrum	Parietal Lobe	Superior Parietal Lobule	Gray Matter	Brodmann area 7	Parietal_Inf_L
329	45.41	-31.42	39.88	Right Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 40	Parietal_Inf_L
330	36.28	-47.99	47.32	Right Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 40	Parietal_Inf_L
331	39.52	-53.83	41.92	Right Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 40	Parietal_Inf_L
332	40.71	-52.26	35.63	Right Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 40	Parietal_Inf_L
333	44.28	-43.28	36.62	Right Cerebrum	Parietal Lobe	Supramarginal Gyrus	Gray Matter	Brodmann area 40	Parietal_Inf_L
334	26.64	-66.21	37.47	Right Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 7	Parietal_Sup_L
335	6.57	-81.03	1.04	Right Cerebrum	Occipital Lobe	Lingual Gyrus	Gray Matter	Brodmann area 18	Calcarine_L
336	2.78	-83.45	-11.05	Right Cerebrum	Occipital Lobe	Lingual Gyrus	Gray Matter	Brodmann area 18	Calcarine_L
337	0.67	-82.61	-3.63	Left Cerebrum	Occipital Lobe	Lingual Gyrus	Gray Matter	Brodmann area 18	Calcarine_L
338	5.37	-69.09	10.52	Right Cerebrum	Occipital Lobe	Cuneus	Gray Matter	Brodmann area 30	Calcarine_L
339	8.96	-58.04	6.82	Right Cerebrum	Limbic Lobe	Posterior Cingulate	Gray Matter	Brodmann area 30	Calcarine_L
340	3.78	-92.16	-11.55	Right Cerebrum	Occipital Lobe	Lingual Gyrus	Gray Matter	Brodmann area 18	Calcarine_L
341	5.99	-95.23	-5.88	Right Cerebrum	Occipital Lobe	Lingual Gyrus	Gray Matter	Brodmann area 18	Calcarine_L
342	-2.31	-83.36	4.89	Left Cerebrum	Occipital Lobe	Lingual Gyrus	Gray Matter	Brodmann area 18	Calcarine_L
343	9.62	-74.83	7.53	Right Cerebrum	Occipital Lobe	Lingual Gyrus	Gray Matter	Brodmann area 18	Calcarine_L
344	-47.5	-43.87	42.07	Left Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 40	Parietal_Inf_R
345	-44.13	-42.87	47.12	Left Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 40	Parietal_Inf_R
346	-38.75	-55.73	45.02	Left Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 40	Parietal_Inf_R
347	-45.65	-53.55	40.35	Left Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 40	Parietal_Inf_R
348	-48.78	-52.78	34.99	Left Cerebrum	Parietal Lobe	Supramarginal Gyrus	Gray Matter	Brodmann area 40	Parietal_Inf_R
349	23.62	-58.42	57.88	Right Cerebrum	Parietal Lobe	Superior Parietal Lobule	Gray Matter	Brodmann area 7	Parietal_Sup_L
350	21.09	-66.51	49.48	Right Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 7	Parietal_Sup_L
351	15.91	-62.62	54.26	Right Cerebrum	Parietal Lobe	Superior Parietal Lobule	Gray Matter	Brodmann area 7	Parietal_Sup_L
352	13.49	-73.6	43.5	Right Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 7	Parietal_Sup_L
353	17.93	-73.05	38.57	Right Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 7	Parietal_Sup_L
354	26.79	-51.37	57.29	Right Cerebrum	Parietal Lobe	Superior Parietal Lobule	Gray Matter	Brodmann area 7	Parietal_Sup_L
355	15.54	-53.62	61.98	Right Cerebrum	Parietal Lobe	Superior Parietal Lobule	Gray Matter	Brodmann area 7	Parietal_Sup_L
356	26.6	-64.08	46.63	Right Cerebrum	Parietal Lobe	Superior Parietal Lobule	Gray Matter	Brodmann area 7	Parietal_Sup_L
357	-28.62	-70.57	44.19	Left Cerebrum	Parietal Lobe	Superior Parietal Lobule	Gray Matter	Brodmann area 7	Parietal_Sup_R
358	-18.96	-74.32	42.41	Left Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 7	Parietal_Sup_R
359	-24.0	-61.57	58.55	Left Cerebrum	Parietal Lobe	Superior Parietal Lobule	Gray Matter	Brodmann area 7	Parietal_Sup_R
360	-40.81	-50.2	52.5	Left Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 40	Parietal_Sup_R
361	-16.25	-63.07	59.31	Left Cerebrum	Parietal Lobe	Superior Parietal Lobule	Gray Matter	Brodmann area 7	Parietal_Sup_R
362	-19.14	-71.91	49.43	Left Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 7	Parietal_Sup_R
363	-21.33	-53.77	60.72	Left Cerebrum	Parietal Lobe	Superior Parietal Lobule	Gray Matter	Brodmann area 7	Parietal_Sup_R
364	-33.54	-57.67	54.09	Left Cerebrum	Parietal Lobe	Superior Parietal Lobule	Gray Matter	Brodmann area 7	Parietal_Sup_R
365	-29.98	-65.38	51.49	Left Cerebrum	Parietal Lobe	Superior Parietal Lobule	Gray Matter	Brodmann area 7	Parietal_Sup_R
366	16.96	-44.86	67.43	Right Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 7	Postcentral_L
367	50.97	-7.26	20.73	Right Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 6	Postcentral_L
368	39.17	-36.86	47.99	Right Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 40	Postcentral_L
369	37.07	-33.37	53.43	Right Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 40	Postcentral_L
370	44.6	-23.57	42.82	Right Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 2	Postcentral_L
371	40.77	-18.08	45.23	Right Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 3	Postcentral_L
372	37.67	-26.84	49.51	Right Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 3	Postcentral_L
373	45.33	-14.24	36.93	Right Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 4	Postcentral_L
374	54.85	-20.04	21.81	Right Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 40	Postcentral_L
375	31.84	-42.58	53.83	Right Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 40	Postcentral_L
376	51.63	-12.62	29.01	Right Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 6	Postcentral_L
377	50.49	-21.5	32.15	Right Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 2	Postcentral_L
378	17.64	-39.04	62.29	Right Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 3	Postcentral_L
379	50.63	-15.77	21.94	Right Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 43	Postcentral_L
380	25.8	-36.79	59.85	Right Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 5	Postcentral_L
381	22.74	-45.15	58.26	Right Cerebrum	Parietal Lobe	Superior Parietal Lobule	Gray Matter	Brodmann area 7	Postcentral_L
382	-21.78	-46.35	64.66	Left Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 7	Postcentral_R
383	-53.71	-21.06	36.33	Left Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 2	Postcentral_R
384	-61.51	-13.82	19.94	Left Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 43	Postcentral_R
385	-52.31	-18.42	31.41	Left Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 2	Postcentral_R
386	-29.71	-38.73	60.06	Left Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 5	Postcentral_R
387	-44.16	-31.56	48.8	Left Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 40	Postcentral_R
388	-14.95	-50.73	64.04	Left Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 7	Postcentral_R
389	-23.77	-39.26	56.79	Left Cerebrum	Parietal Lobe	Sub-Gyral	Gray Matter	Brodmann area 40	Postcentral_R
390	-14.53	-42.01	66.3	Left Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 5	Postcentral_R
391	-29.09	-48.37	56.49	Left Cerebrum	Parietal Lobe	Superior Parietal Lobule	Gray Matter	Brodmann area 7	Postcentral_R
392	-59.95	-6.45	22.04	Left Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 4	Postcentral_R
393	-50.55	-12.17	32.53	Left Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 6	Postcentral_R
394	-49.54	-25.37	44.63	Left Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 2	Postcentral_R
395	-35.88	-40.88	55.86	Left Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 40	Postcentral_R
396	-38.42	-37.01	50.01	Left Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 40	Postcentral_R
397	44.02	-4.43	40.8	Right Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 6	Precentral_L
398	38.12	0.03	43.12	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 6	Precentral_L
399	46.49	-6.83	33.24	Right Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 6	Precentral_L
400	43.21	1.79	34.28	Right Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 6	Precentral_L
401	30.16	-9.46	52.41	Right Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 6	Precentral_L
402	17.57	-21.55	66.97	Right Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 4	Precentral_L
403	36.88	-13.07	46.92	Right Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 4	Precentral_L
404	31.01	-25.41	55.81	Right Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 4	Precentral_L
405	47.82	-1.58	25.62	Right Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 9	Precentral_L
406	32.41	-19.31	52.99	Right Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 4	Precentral_L
407	36.56	-6.06	48.09	Right Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 6	Precentral_L
408	27.28	-30.81	59.23	Right Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 3	Precentral_L
409	20.71	-28.09	64.75	Right Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 4	Precentral_L
410	26.39	-16.22	57.81	Right Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 6	Precentral_L
411	-56.35	0.74	23.22	Left Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 6	Precentral_R
412	-35.85	-17.21	54.18	Left Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 4	Precentral_R
413	-24.42	-25.94	71.08	Left Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 4	Precentral_R
414	-48.94	-12.04	39.29	Left Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 4	Precentral_R
415	-35.78	-28.46	54.81	Left Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 4	Precentral_R
416	-47.81	1.86	39.94	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 6	Precentral_R
417	-26.29	-31.37	61.53	Left Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 3	Precentral_R
418	-46.8	-5.4	43.03	Left Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 6	Precentral_R
419	-38.87	-17.05	51.51	Left Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 4	Precentral_R
420	-43.68	-17.75	45.21	Left Cerebrum	Frontal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 4	Precentral_R
421	-50.11	-0.16	31.88	Left Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 6	Precentral_R
422	-19.34	-32.89	66.88	Left Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 3	Precentral_R
423	-29.79	-22.93	61.03	Left Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 4	Precentral_R
424	-18.09	-26.8	65.63	Left Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 4	Precentral_R
425	2.31	-54.18	52.97	Right Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 7	Precuneus_L
426	7.87	-58.85	62.06	Right Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 7	Precuneus_L
427	4.0	-58.28	27.14	Right Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 31	Precuneus_L
428	4.95	-63.21	23.47	Right Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 31	Precuneus_L
429	3.38	-54.71	58.25	Right Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 7	Precuneus_L
