Record Number	X coor	Y coor	Z coor	Level 1	Level 2	Level 3	Level 4	Level 5	Label
78	-51.21	19.31	8.53	Left Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 45	Frontal_Inf_Tri_R
79	-47.78	21.33	19.42	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 46	Frontal_Inf_Tri_R
80	-44.48	19.11	29.24	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 9	Frontal_Inf_Tri_R
81	4.48	35.76	-1.68	Right Cerebrum	Limbic Lobe	Anterior Cingulate	Gray Matter	Brodmann area 24	Frontal_Med_Orb_L
82	5.23	57.96	4.59	Right Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 10	Frontal_Med_Orb_L
83	3.0	50.11	-0.18	Right Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 10	Frontal_Med_Orb_L
84	-8.19	34.08	-1.24	Left Cerebrum	Limbic Lobe	Anterior Cingulate	Gray Matter	Brodmann area 32	Frontal_Med_Orb_R
85	-9.2	57.51	2.65	Left Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 10	Frontal_Med_Orb_R
86	-6.75	46.29	1.06	Left Cerebrum	Limbic Lobe	Anterior Cingulate	Gray Matter	Brodmann area 32	Frontal_Med_Orb_R
87	32.29	44.51	21.93	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 10	Frontal_Mid_L
88	29.56	33.07	32.16	Right Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 9	Frontal_Mid_L
89	35.33	9.15	44.42	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 6	Frontal_Mid_L
90	29.29	19.09	46.19	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 8	Frontal_Mid_L
91	26.97	42.74	26.85	Right Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 10	Frontal_Mid_L
