Record Number	X coor	Y coor	Z coor	Level 1	Level 2	Level 3	Level 4	Level 5	Range (mm)	Appended Data
14	4.89	-26.74	32.26	Right Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 23	0	
15	6.31	-44.2	31.2	Right Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 31	0	
16	7.12	-31.3	42.37	Right Cerebrum	Frontal Lobe	Paracentral Lobule	Gray Matter	Brodmann area 31	1	
17	6.21	13.81	35.52	Right Cerebrum	Frontal Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 32	0	
18	4.3	-21.65	40.94	Right Cerebrum	Frontal Lobe	Paracentral Lobule	Gray Matter	Brodmann area 31	3	
19	4.46	-9.51	39.07	Right Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 24	1	
20	6.41	19.62	39.06	Right Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 32	1	
21	4.88	0.78	37.35	Right Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 24	0	
22	6.41	-40.82	38.78	Right Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 31	0	
23	-6.9	-45.88	16.66	Left Cerebrum	Limbic Lobe	Posterior Cingulate	Gray Matter	Brodmann area 29	0	
24	-5.4	-43.76	25.98	Left Cerebrum	Limbic Lobe	Posterior Cingulate	Gray Matter	Brodmann area 23	2	
25	5.28	-43.72	18.67	Right Cerebrum	Limbic Lobe	Posterior Cingulate	Gray Matter	Brodmann area 30	0	
26	-9.09	-67.68	21.46	Left Cerebrum	Occipital Lobe	Precuneus	Gray Matter	Brodmann area 31	0	
27	-5.04	-77.2	15.79	Left Cerebrum	Occipital Lobe	Cuneus	Gray Matter	Brodmann area 18	2	
28	-9.18	-88.83	21.96	Left Cerebrum	Occipital Lobe	Cuneus	Gray Matter	Brodmann area 18	0	
29	-8.15	-84.77	11.57	Left Cerebrum	Occipital Lobe	Cuneus	Gray Matter	Brodmann area 17	1	
30	-7.68	-80.59	28.38	Left Cerebrum	Occipital Lobe	Cuneus	Gray Matter	Brodmann area 19	2	
31	-3.17	-84.99	17.92	Left Cerebrum	Occipital Lobe	Cuneus	Gray Matter	Brodmann area 18	0	
32	11.85	-82.34	24.06	Right Cerebrum	Occipital Lobe	Cuneus	Gray Matter	Brodmann area 19	2	
33	7.32	-72.23	22.86	Right Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 31	0	
34	10.19	-81.04	14.52	Right Cerebrum	Occipital Lobe	Cuneus	Gray Matter	Brodmann area 18	2	
35	9.06	-75.27	20.04	Right Cerebrum	Occipital Lobe	Cuneus	Gray Matter	Brodmann area 18	2	
36	13.83	-91.72	5.42	Right Cerebrum	Occipital Lobe	Cuneus	Gray Matter	Brodmann area 17	0	
37	12.89	-78.03	32.93	Right Cerebrum	Occipital Lobe	Cuneus	Gray Matter	Brodmann area 19	1	
38	-43.92	8.99	11.08	Left Cerebrum	Sub-lobar	Insula	Gray Matter	Brodmann area 13	1	
39	-48.73	7.6	26.69	Left Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 9	1	
40	-45.32	4.42	17.33	Left Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 44	4	
41	-45.29	9.5	19.48	Left Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 44	5	
42	46.56	11.25	10.06	Right Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 44	1	
43	40.33	5.82	34.79	Right Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 9	0	
44	47.32	9.04	21.52	Right Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 9	5	
45	46.55	6.3	28.36	Right Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 9	1	
46	39.54	11.01	34.3	Right Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 9	1	
47	50.15	10.0	16.49	Right Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 44	2	
48	-35.77	36.1	-2.0	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 47	5	
49	-40.47	25.68	-5.56	Left Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 47	2	
50	-33.4	34.59	-4.7	Left Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 47	3	
51	-44.07	20.48	-1.11	Left Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 47	1	
52	-43.14	33.44	0.96	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 47	4	
53	-21.99	18.45	-14.16	Left Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 47	1	
54	-30.11	26.59	-8.55	Left Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 47	2	
55	-22.56	-1.86	-12.91	Left Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Amygdala	1	
56	41.51	30.89	-4.75	Right Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 47	3	
57	28.03	29.2	-8.21	Right Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 47	1	
58	34.78	23.11	-8.01	Right Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 47	3	
59	23.08	19.11	-10.95	Right Cerebrum	Frontal Lobe	Subcallosal Gyrus	Gray Matter	Brodmann area 47	4	
60	47.35	33.97	2.22	Right Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	*	2	
61	46.58	22.31	-0.2	Right Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 47	2	
62	38.09	37.44	-1.07	Right Cerebrum	Frontal Lobe	Sub-Gyral	White Matter	*	0	
63	-42.57	26.97	23.08	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 46	3	
64	-47.14	17.15	21.27	Left Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 9	1	
65	-45.91	25.1	12.47	Left Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 13	3	
66	-43.81	21.95	7.23	Left Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 13	0	
67	-38.71	34.85	15.99	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 46	1	
68	-43.11	29.58	13.18	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 46	1	
69	-44.35	16.35	11.53	Left Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 44	0	
70	-43.6	21.46	27.94	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 46	2	
71	-46.06	12.69	28.81	Left Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 9	0	
72	-41.07	35.07	7.84	Left Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 46	3	
73	48.33	26.95	9.28	Right Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 45	1	
74	42.8	25.29	27.63	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 9	3	
75	48.01	23.83	16.14	Right Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 45	2	
76	44.04	30.96	17.82	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 46	1	
77	45.46	13.78	25.58	Right Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 9	2	
78	42.97	34.62	9.19	Right Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 46	1	
79	49.19	18.78	10.18	Right Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 45	2	
80	45.5	20.85	20.96	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 46	2	
81	41.94	18.66	30.66	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 9	0	
82	-6.09	35.82	-1.85	Left Cerebrum	Limbic Lobe	Anterior Cingulate	Gray Matter	*	1	
83	-6.83	58.02	4.39	Left Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 10	1	
84	-4.53	50.15	-0.3	Left Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 10	0	
85	6.55	34.0	-1.0	Right Cerebrum	Limbic Lobe	Anterior Cingulate	Gray Matter	Brodmann area 24	1	
86	7.65	57.42	2.92	Right Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 10	0	
87	5.15	46.23	1.26	Right Cerebrum	Limbic Lobe	Anterior Cingulate	Gray Matter	Brodmann area 32	0	
88	-34.43	44.86	20.83	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 10	1	
89	-32.04	33.39	31.15	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 9	1	
90	-38.31	9.53	43.21	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 6	2	
91	-32.24	19.41	45.18	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 8	0	
92	-29.24	43.04	25.93	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 10	0	
93	-25.16	8.3	54.05	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 6	1	
94	-34.53	0.88	50.01	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 6	1	
95	-42.86	11.33	38.09	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 9	1	
96	-35.08	27.13	37.28	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 9	0	
97	-38.04	17.5	41.62	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 8	2	
98	-40.14	27.81	29.9	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 9	2	
99	-37.72	44.44	11.72	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 10	1	
100	-25.27	20.95	49.03	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 8	2	
101	-27.74	-3.32	54.92	Left Cerebrum	Frontal Lobe	Sub-Gyral	Gray Matter	Brodmann area 6	0	
102	-23.48	40.04	33.46	Left Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 9	0	
103	-28.34	32.49	38.14	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 9	1	
104	-29.01	49.67	15.84	Left Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 10	3	
105	-37.95	36.49	24.66	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 10	3	
106	-31.0	10.01	50.77	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 6	2	
107	-24.01	49.78	-1.77	Left Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 10	1	
108	-38.59	45.7	3.18	Left Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	*	1	
109	-23.33	35.83	-7.74	Left Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 47	3	
110	-31.72	49.68	-0.97	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	*	0	
111	21.92	52.47	-2.59	Right Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 10	2	
112	36.68	45.73	-1.38	Right Cerebrum	Frontal Lobe	Sub-Gyral	Gray Matter	*	2	
113	24.87	40.15	-6.71	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 11	1	
114	34.96	50.0	4.16	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 10	2	
115	33.33	13.35	47.96	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 6	0	
116	24.95	46.57	27.98	Right Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 10	2	
117	33.21	28.87	39.53	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 8	0	
118	26.23	20.38	46.24	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 8	0	
119	38.9	1.15	47.42	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 6	2	
120	40.35	39.17	19.13	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 10	1	
121	34.04	45.22	21.29	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 10	1	
122	37.24	33.35	30.65	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 9	0	
123	30.78	49.68	12.39	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 10	3	
124	24.17	38.65	35.04	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 9	0	
125	39.47	31.25	25.47	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 9	5	
126	27.4	6.88	54.41	Right Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 6	1	
127	34.44	-5.97	50.28	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 6	2	
128	40.35	42.55	12.66	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 10	1	
129	31.77	40.58	31.15	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 9	2	
130	33.58	1.53	52.47	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 6	0	
131	34.26	-8.41	56.55	Right Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 6	0	
132	40.01	22.27	37.49	Right Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 9	1	
133	25.86	29.81	41.0	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 8	1	
134	39.27	13.51	42.87	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 6	3	
135	-17.88	25.81	49.55	Left Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 8	2	
136	-24.65	-13.11	60.66	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 6	0	
137	-20.38	47.84	30.58	Left Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 9	1	
138	-22.3	54.24	11.7	Left Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 10	3	
139	-22.03	32.39	40.76	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 8	0	
140	-17.47	-15.66	69.93	Left Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 6	2	
141	-21.73	-4.43	59.99	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 6	0	
142	-15.03	17.13	53.26	Left Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 6	0	
143	-14.49	43.09	36.81	Left Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 9	3	
144	-16.03	-2.1	60.69	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 6	2	
145	-14.95	34.43	44.7	Left Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 8	3	
146	-19.12	9.67	56.87	Left Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 6	2	
147	-19.35	55.1	18.7	Left Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 10	0	
148	-16.63	53.44	25.76	Left Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 9	1	
149	24.24	-0.79	-12.33	Right Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Brodmann area 34	1	
150	-5.2	44.06	42.84	Left Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 8	1	
151	-6.37	53.51	26.03	Left Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 9	1	
152	-7.5	24.36	56.05	Left Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 6	1	
153	-3.94	20.2	53.87	Left Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 6	0	
154	-5.77	43.56	26.03	Left Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 9	1	
155	-6.69	19.59	42.34	Left Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 32	0	
156	-8.91	58.32	14.44	Left Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 10	1	
157	-6.58	35.29	50.77	Left Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 8	1	
158	-7.56	52.58	33.86	Left Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 9	1	
159	-5.69	51.08	15.69	Left Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 9	1	
160	-3.03	39.05	35.95	Left Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 6	0	
161	-4.81	29.22	39.5	Left Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 8	0	
162	8.26	59.24	15.9	Right Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 10	1	
163	7.77	47.27	11.73	Right Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 10	1	
164	5.28	39.68	42.92	Right Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 8	0	
165	8.34	45.16	41.57	Right Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 8	2	
166	5.52	50.35	23.32	Right Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 9	0	
167	8.54	56.3	28.5	Right Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 9	1	
168	5.35	20.0	49.97	Right Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 8	1	
169	7.66	24.98	57.79	Right Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 6	0	
170	5.39	30.55	43.9	Right Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 8	0	
171	-13.43	51.1	-4.26	Left Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 10	0	
172	-14.36	24.33	-12.68	Left Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 47	3	
173	-16.99	42.08	-6.32	Left Cerebrum	Limbic Lobe	Anterior Cingulate	Gray Matter	Brodmann area 32	0	
174	-20.26	56.12	3.5	Left Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 10	3	
175	20.56	56.34	5.45	Right Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 10	4	
176	15.64	24.19	-12.38	Right Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 47	3	
177	13.06	52.86	-4.53	Right Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 10	1	
178	14.91	39.36	-9.77	Right Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 10	2	
179	20.07	55.92	12.41	Right Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 10	4	
180	17.98	55.93	20.7	Right Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 10	2	
181	20.42	17.29	52.22	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 6	1	
182	25.44	50.03	20.61	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 10	0	
183	14.35	21.76	52.95	Right Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 6	1	
184	15.23	51.82	27.09	Right Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 9	2	
185	17.28	8.09	55.98	Right Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 6	3	
186	15.7	-16.11	66.17	Right Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 6	0	
187	22.58	-2.97	58.75	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 6	0	
188	15.37	42.25	37.8	Right Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 9	4	
189	19.9	30.22	41.2	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 8	2	
190	14.13	33.69	42.76	Right Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 8	2	
191	17.32	45.49	31.76	Right Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 9	2	
192	16.77	29.72	48.28	Right Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 8	1	
193	15.59	-3.74	61.0	Right Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 6	2	
194	25.26	-13.28	62.04	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 6	0	
195	-25.79	-72.04	-14.31	Left Cerebellum	Posterior Lobe	Declive	Gray Matter	*	0	
196	-28.1	-53.21	-14.29	Left Cerebellum	Posterior Lobe	Declive	Gray Matter	*	0	
197	-24.84	-39.22	-13.1	Left Cerebellum	Anterior Lobe	Culmen	Gray Matter	*	1	
198	-37.53	-48.38	-17.05	Left Cerebrum	Temporal Lobe	Fusiform Gyrus	Gray Matter	Brodmann area 37	1	
199	-26.38	-7.32	-30.26	Left Cerebrum	Limbic Lobe	Uncus	Gray Matter	Brodmann area 36	1	
200	-28.21	-25.19	-21.81	Left Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Brodmann area 35	1	
201	-26.46	0.91	-30.94	Left Cerebrum	Limbic Lobe	Uncus	Gray Matter	Brodmann area 36	2	
202	-34.68	-28.93	-19.66	Left Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Brodmann area 36	1	
203	-35.67	-63.47	-15.29	Left Cerebellum	Posterior Lobe	Declive	Gray Matter	*	0	
204	26.12	-60.27	-10.14	Right Cerebellum	Posterior Lobe	Declive	Gray Matter	*	1	
205	28.86	-42.68	-10.15	Right Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Brodmann area 36	1	
206	29.63	-7.59	-30.43	Right Cerebrum	Limbic Lobe	Uncus	Gray Matter	Brodmann area 36	1	
207	24.77	-49.62	-14.63	Right Cerebellum	Anterior Lobe	Culmen	Gray Matter	*	0	
208	32.05	-30.23	-19.57	Right Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Brodmann area 36	0	
209	24.88	-73.24	-11.59	Right Cerebellum	Posterior Lobe	Declive	Gray Matter	*	0	
210	35.72	-19.47	-20.76	Right Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Hippocampus	2	
211	28.94	2.0	-30.59	Right Cerebrum	Limbic Lobe	Uncus	Gray Matter	Brodmann area 36	3	
212	36.63	-58.21	-16.47	Right Cerebellum	Posterior Lobe	Declive	Gray Matter	*	0	
213	36.74	-39.86	-17.5	Right Cerebrum	Temporal Lobe	Fusiform Gyrus	Gray Matter	Brodmann area 20	0	
214	-40.36	-20.98	9.42	Left Cerebrum	Sub-lobar	Insula	Gray Matter	Brodmann area 13	1	
215	41.29	-19.68	11.26	Right Cerebrum	Sub-lobar	Insula	Gray Matter	Brodmann area 13	0	
216	-19.0	-32.89	0.32	Left Cerebrum	Sub-lobar	Thalamus	Gray Matter	*	1	
217	-28.56	-30.55	-5.2	Left Cerebrum	Temporal Lobe	Sub-Gyral	Gray Matter	Hippocampus	1	
218	-19.95	-10.28	-14.15	Left Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Brodmann area 34	1	
219	-28.94	-14.13	-12.5	Left Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Hippocampus	0	
220	-36.93	-64.89	36.12	Left Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 39	1	
221	-45.47	-61.33	20.55	Left Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 39	1	
222	-41.24	-63.55	32.52	Left Cerebrum	Parietal Lobe	Angular Gyrus	Gray Matter	Brodmann area 39	2	
223	-47.35	-56.32	26.32	Left Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 39	1	
224	-42.97	-66.09	25.78	Left Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 39	3	
225	19.53	-31.3	0.29	Right Cerebrum	Sub-lobar	Thalamus	Gray Matter	*	0	
226	29.95	-12.7	-11.06	Right Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Hippocampus	2	
227	23.8	-11.41	-13.49	Right Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Amygdala	2	
228	29.26	-30.08	-4.31	Right Cerebrum	Temporal Lobe	Sub-Gyral	Gray Matter	Hippocampus	0	
229	-38.4	-6.52	3.93	Left Cerebrum	Sub-lobar	Insula	Gray Matter	Brodmann area 13	2	
230	-33.9	-20.01	11.04	Left Cerebrum	Sub-lobar	Claustrum	Gray Matter	*	2	
231	-30.15	19.98	6.91	Left Cerebrum	Sub-lobar	Insula	Gray Matter	Brodmann area 13	1	
232	-30.66	11.44	13.24	Left Cerebrum	Sub-lobar	Claustrum	Gray Matter	*	2	
233	-33.86	12.16	-0.86	Left Cerebrum	Sub-lobar	Claustrum	Gray Matter	*	1	
234	-34.58	-6.67	14.94	Left Cerebrum	Sub-lobar	Insula	Gray Matter	Brodmann area 13	0	
235	-35.18	6.61	-5.03	Left Cerebrum	Sub-lobar	Claustrum	Gray Matter	*	3	
